"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"MAP3K5",28,0.148751598022206,"no",0.0330940026837004,0.149629854627199,21,0.76628921054489,"no","","","",467
"LY6D",35,0.149095990900846,"no",-0.0839543524527351,0.185805291458903,26,0.99999990490238,"no","","","",467
"TBC1D12",36,0.14914946936636,"no",0.117080038007531,0.281233397913884,26,0.99999999966153,"no","","","",467
"PTTG1",35,0.149747875308735,"no",0.0156393942224916,0.174299250468313,26,8.78457215515216e-11,"yes","","","",467
"VSNL1",35,0.149875768938951,"no",-0.0305105812155219,0.113099963762991,26,0.848961370961003,"no","","","",467
"TMED10P1",33,0.150902271612314,"no",0.108503724083315,0.24453709330743,0,NA,NA,"",NA,NA,467
"HIST1H1C",34,0.151412475997824,"no",-0.179874870118055,0.219093243901571,26,1.54024024259061e-06,"yes","",NA,NA,467
"NCOA2",35,0.151561718098065,"no",-0.0379810324484208,0.163417126420308,26,0.999999999960534,"no","LUAD_Act,LUSC_Act","","",467
"HNF1A",34,0.151688564137303,"no",0.0232955787326239,0.0878877116530878,25,0.23008149777038,"no","HC_LoF","","",467
"KBTBD3",31,0.151897524545175,"no",0.016039847114342,0.219742603423564,21,0.266360295731888,"no","","","",467
"SIX6",35,0.151942323913098,"no",0.0165653626369428,0.201871691850639,26,0.998389340389387,"no","","KCNQ5 (depleted, 4% vs 19%)","",467
"PIK3C3",35,0.15195795679767,"no",-0.325119926188674,0.22765664134987,25,5.35513007705611e-15,"yes","","","",467
"ALDH1B1",36,0.152400735275501,"no",-0.0257069376117358,0.216105902250177,26,0.161529308222337,"no","","","",467
"NFX1",34,0.152544321101441,"no",-0.0508454498439038,0.226582663592072,25,0.298019606066284,"no","","","",467
"PCK2",35,0.153493491498646,"no",0.0744390210887247,0.122385606701027,26,0.961456942953552,"no","","","",467
"PLXDC1",36,0.153914320624417,"no",-0.0298972132816617,0.1720416717074,26,0.894420890333166,"no","","","",467
"ING1",34,0.154010128247156,"no",0.0737256241328994,0.194882622151094,25,0.752853396610458,"no","UCEC_LoF","","",467
"PFKFB3",35,0.154749010019173,"no",0.00269141017362142,0.214904718526225,26,0.999999999500669,"no","","","",467
"MED1",31,0.154776407511359,"no",-0.313488394420436,0.723253957374663,23,7.811543206003e-14,"yes","","","",467
"CEACAM16",36,0.155552424403654,"no",0.10125045812992,0.156653159100177,26,0.00610428343544411,"no","","","",467
"SETDB2",35,0.155804286551949,"no",0.0573114537496028,0.148286385768427,26,0.886634172907996,"no","","","",467
"OR4E2",32,0.155843458358693,"no",-0.13766736795163,0.293786725631218,25,0.96811257268481,"no","","","",467
"ASXL1",34,0.155868420876405,"no",0.0174636489413032,0.196900310847022,25,0.835326819703565,"no","ALL_LoF,AML_LoF,BRCA_LoF,CLL_LoF,ESCA_LoF,HGG_LoF,HNSC_LoF,MBL_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF","","",467
"ANKS6",35,0.156178032992161,"no",0.0383540220638337,0.176298910700444,26,1.66876583432443e-10,"yes","","","",467
"THRSP",33,0.156410306604681,"no",-0.0039284377469457,0.185753014973291,25,0.0459912145334619,"no","","","",467
"RAB7A",34,0.156646423963317,"no",-0.179779813354637,0.391183612460042,25,0.000278009689798711,"no","","","",467
"PTPDC1",34,0.15685870907785,"no",0.0140525355514515,0.16802482719796,26,0.993179968081273,"no","","","",467
"WSB1",34,0.156924568665666,"no",-0.0296429261086033,0.125053280022816,25,0.819422020656066,"no","","","",467
